transaction_id,product_name,product_category,quantity,unit_price,total_price,customer_name,customer_email,purchase_date,payment_method,City,Order_status
29,Handmade Wooden Utensil Set,Kitchen,78,76.33,627.61,Brigit Fleury,bfleurys@networkadvertising.org,2/6/2023,Cash,Chennai,processing
30,Sour Cream,Food - Dairy,6,48.99,937.6,Bruce Westley,bwestleyt@clickbank.net,2/6/2022,Cash,Hyderabad,completed
31,Key Finder,Accessories,98,35.36,215.41,Carroll Larter,clarteru@sphinn.com,8/13/2023,PayPal,Lucknow,cancelled
32,Silicone Baking Mat Set,Kitchen,73,60.84,962.18,Marsh Lohde,mlohdev@google.co.jp,11/19/2026,Apple Pay,Ahmedabad,cancelled
33,Spicy Garlic Edamame,Food - Snacks,91,70.44,852.59,Terri Capponer,tcapponerw@printfriendly.com,5/22/2024,credit card,Chennai,returned
34,Teriyaki Chicken Skewers,Food - Meat,94,52.14,137.28,Chucho Wheelband,cwheelbandx@dropbox.com,8/2/2021,Cash,Mumbai,refunded
35,Savory Rice Cakes,Food - Snacks,4,9.22,710.03,Arlin Sherwyn,asherwyny@example.com,7/28/2020,credit card,Lucknow,shipped
36,Portable Solar Camp Shower,Outdoor,29,62.66,366.0,Travus Pritchitt,tpritchittz@redcross.org,10/11/2022,Apple Pay,Pune,delivered
37,Foot Spa Bath Massager,Health,88,27.4,752.94,Reba Toplis,rtoplis10@shutterfly.com,6/18/2020,Apple Pay,Jaipur,shipped
38,Pasta Primavera Kit,Food - Meal Kits,97,2.98,780.74,Natala MacKissack,nmackissack11@joomla.org,6/15/2026,Gift card,Ahmedabad,refunded
39,Vegetable Stir-Fry Kit,Food - Produce,17,33.66,634.53,Georges Heatherington,gheatherington12@sphinn.com,8/9/2025,Gift card,Lucknow,refunded
40,Electric Air Pump,Outdoor,94,12.5,492.19,Henrik McLoughlin,hmcloughlin13@globo.com,3/17/2022,Apple Pay,Jaipur,refunded
41,Eco-Friendly Disposable Plates,Kitchen,41,57.92,331.37,Basilius Giles,bgiles14@mozilla.org,8/18/2022,Google Pay,Mumbai,backordered
42,Orange Ginger Vinaigrette,Food - Condiments,60,73.85,568.42,Chlo Cowen,ccowen15@jiathis.com,7/2/2026,PayPal,Kolkata,completed
43,Brownie Bites,Food - Baked Goods,79,31.53,237.94,Suzie Brownsey,sbrownsey16@livejournal.com,3/22/2022,Apple Pay,Pune,refunded
44,Organic Almond Flour,Food - Baking,9,68.92,319.23,Harlen Jopling,hjopling17@ibm.com,11/9/2023,credit card,Ahmedabad,backordered
45,Puzzle 3D Model Kit,Toys,96,55.34,914.57,Maire Cornil,mcornil18@theguardian.com,5/21/2022,Google Pay,Mumbai,processing
46,Pear and Gorgonzola Salad,Food - Salads,3,34.05,37.06,Vivian Tolworth,vtolworth19@google.co.jp,4/13/2025,credit card,Ahmedabad,processing
47,Classic Black Trousers,Clothing - Pants,43,33.41,827.66,Arlin Spon,aspon1a@about.me,6/21/2021,Google Pay,Chennai,processing
48,Thyme,Food - Fresh Produce,77,83.77,308.0,Dion Postles,dpostles1b@businesswire.com,4/19/2024,Gift card,Delhi,shipped
49,Pasta (Linguine),Food - Pasta,16,33.52,326.22,Allyson Aps,aaps1c@alibaba.com,3/22/2020,Gift card,Mumbai,backordered
50,Weighted Jump Rope,Fitness,32,12.24,950.17,Manfred Bussen,mbussen1d@army.mil,9/21/2022,Cash,Chennai,shipped
51,Electric Toothbrush Holder,Health,52,39.78,197.22,Alysia Shafe,ashafe1e@vistaprint.com,11/21/2024,Apple Pay,Chennai,pending
52,Travel Jewelry Case,Accessories,40,55.87,349.1,Jay Extance,jextance1f@twitter.com,2/21/2024,credit card,Pune,shipped
53,Portable USB-C Monitor,Electronics,9,79.33,993.6,Nathan Dubock,ndubock1g@ucsd.edu,7/25/2023,Gift card,Delhi,completed
54,Microfiber Cleaning Cloths,Home,11,79.34,296.45,Harrison Cristofanini,hcristofanini1h@cbslocal.com,11/4/2020,Gift card,Ahmedabad,completed
55,Oven-Baked Sweet Potato Fries,Food - Frozen Foods,8,46.26,801.63,Sarge Yandell,syandell1i@behance.net,3/12/2025,Google Pay,Jaipur,refunded
56,Cinnamon Raisin Bread,Food - Bakery,88,12.63,218.16,Juliette De Paepe,jde1j@google.com,6/3/2024,Gift card,Pune,on hold
57,Sliced Cheese,Food - Dairy,41,79.32,734.06,Ddene Greschik,dgreschik1k@netvibes.com,7/31/2024,Google Pay,Mumbai,backordered
58,Herbal Tea Infuser,Kitchen,89,62.72,7.4,Jolyn Bernaciak,jbernaciak1l@360.cn,11/19/2024,credit card,Hyderabad,returned
59,Video Camera,Electronics,37,74.06,748.09,Blinnie McMychem,bmcmychem1m@over-blog.com,8/19/2022,Gift card,Kolkata,processing
60,Teriyaki Chicken Wings,Food - Frozen Food,61,61.9,596.58,Agnella MacDiarmond,amacdiarmond1n@hc360.com,7/1/2023,Cash,Ahmedabad,on hold
61,Portable Phone Charger,Accessories,54,24.88,807.24,Emyle Renbold,erenbold1o@jimdo.com,8/30/2022,Google Pay,Lucknow,completed
62,Artisan Pickles,Food - Condiments,68,82.79,952.44,Robena Gaish,rgaish1p@census.gov,10/5/2022,Google Pay,Lucknow,completed
63,High-Waisted Skirt,Clothing - Bottoms,36,37.04,191.47,Arnold Breeze,abreeze1q@mac.com,10/9/2021,PayPal,Pune,processing
64,Wireless Security Camera,Home,78,1.12,683.33,Jerri Balch,jbalch1r@umich.edu,5/24/2024,PayPal,Bangalore,cancelled
65,Organic Vanilla Bean Ice Cream,Food - Frozen Desserts,14,78.49,330.83,Arielle Gainfort,againfort1s@amazonaws.com,7/29/2021,PayPal,Kolkata,pending
66,Organic Tomato Soup,Food - Canned Goods,38,73.63,752.43,Gwen Hurcombe,ghurcombe1t@canalblog.com,10/8/2020,PayPal,Lucknow,completed
67,Folding Table,Outdoor,94,72.99,161.25,Tamara Thody,tthody1u@yandex.ru,4/26/2023,Google Pay,Pune,refunded
68,Travel Pillow with Memory Foam,Travel,90,45.97,539.23,Hildegarde Vardie,hvardie1v@issuu.com,11/2/2026,Gift card,Delhi,on hold
69,Portable Pet Pooper Scooper,Pets,2,60.6,787.3,Larissa Dollin,ldollin1w@reference.com,1/23/2023,Gift card,Chennai,completed
70,Multicolored LED Strip Lights,Home,57,96.36,126.43,Katerine Luttger,kluttger1x@cornell.edu,12/16/2023,Apple Pay,Pune,on hold
71,Multi-Function Smartphone Holder,Electronics,15,14.03,969.4,Angelica Farnaby,afarnaby1y@sbwire.com,11/23/2020,credit card,Mumbai,delivered
72,Dark Chocolate Raisins,Food - Snacks,34,1.67,892.0,Iris Bundey,ibundey1z@cnn.com,1/10/2022,Cash,Delhi,pending
73,Deep Tissue Massage Gun,Health,20,96.79,555.93,Gerrard Merrett,gmerrett20@odnoklassniki.ru,8/28/2026,Apple Pay,Bangalore,on hold
74,Outdoor Mosquito Repellent Lantern,Outdoor,36,59.67,109.81,Brandais Darington,bdarington21@disqus.com,9/30/2021,Google Pay,Mumbai,processing
75,Electric Razor,Health,65,96.51,235.41,Nanci Reicherz,nreicherz22@chron.com,9/22/2023,Cash,Mumbai,on hold
76,Adjustable Height Standing Desk Converter,Office,2,7.35,394.35,Gian Klimek,gklimek23@patch.com,1/24/2025,PayPal,Hyderabad,shipped
77,Pressure Washer Accessories Kit,Home Improvement,6,97.82,831.46,Alard Janowski,ajanowski24@photobucket.com,7/12/2024,Gift card,Ahmedabad,backordered
78,Sliced Provolone Cheese,Food - Dairy,69,61.3,992.27,Ortensia Meiklejohn,omeiklejohn25@diigo.com,5/5/2020,Cash,Lucknow,completed
79,Pet Travel Bed,Pets,44,52.49,772.29,Wenda Livermore,wlivermore26@soup.io,10/14/2025,Cash,Mumbai,backordered
80,Crispy Kale Chips,Food - Snacks,46,74.88,629.39,Eydie Dallander,edallander27@chronoengine.com,6/16/2024,Gift card,Pune,refunded
81,Adjustable Kitchen Broom Stand,Home,63,25.77,714.41,Guinna Creek,gcreek28@jiathis.com,2/24/2021,PayPal,Delhi,cancelled
82,Vegetable and Cheese Quesadillas,Food - Frozen,9,9.18,308.65,Tiphani Belliss,tbelliss29@zimbio.com,2/18/2020,credit card,Lucknow,shipped
83,Dog Training Collar,Pets,95,14.04,350.3,Aldin Gummow,agummow2a@weebly.com,8/16/2026,PayPal,Lucknow,returned
84,LED Canopy Lights,Outdoor,10,36.0,440.02,Bank Bodley,bbodley2b@plala.or.jp,4/3/2020,Cash,Bangalore,processing
85,Camping Chair with Cooler,Outdoor,62,92.86,837.98,Andras Brackenbury,abrackenbury2c@goo.ne.jp,1/26/2020,Google Pay,Hyderabad,shipped
86,Italian Pasta,Food - Grains,100,51.17,906.19,Peria Sima,psima2d@g.co,12/16/2026,Google Pay,Kolkata,returned
87,Magnetic Chess Set,Toys,64,31.38,925.63,Petrina Nyssens,pnyssens2e@cnbc.com,4/13/2020,Google Pay,Hyderabad,refunded
88,Self-Massaging Pillow,Health,87,65.21,361.73,Miguel McCadden,mmccadden2f@booking.com,6/9/2021,Apple Pay,Jaipur,cancelled
89,Automatic Pet Feeder,Pets,41,69.67,545.45,Michael Kindell,mkindell2g@skyrock.com,8/28/2021,credit card,Lucknow,returned
90,Portable Dog Water Bottle,Pets,1,42.27,630.14,Archie Bertwistle,abertwistle2h@psu.edu,7/6/2026,credit card,Jaipur,refunded
91,Mesh Sports Leggings,Clothing - Activewear,97,16.4,135.54,Mack Cradoc,mcradoc2i@ezinearticles.com,4/11/2020,Google Pay,Kolkata,shipped
92,Honey Lemon Tea,Food - Beverages,46,39.71,234.8,Ringo Mc Kellen,rmc2j@yale.edu,12/23/2026,Apple Pay,Chennai,refunded
93,Foot Spa Bath Massager,Health,99,53.71,381.97,Adrianna De Marchi,ade2k@nydailynews.com,7/7/2026,Apple Pay,Jaipur,delivered
94,Cinnamon Apple Sauce,Food - Canned Goods,72,52.08,55.71,Kattie Matyugin,kmatyugin2l@ifeng.com,8/28/2026,Google Pay,Kolkata,shipped
95,Key Finder,Accessories,43,10.72,865.53,Martainn Wix,mwix2m@cbc.ca,1/1/2026,Google Pay,Delhi,cancelled
96,Fresh Basil,Food - Produce,25,10.58,179.19,Dev Welfair,dwelfair2n@youtu.be,3/7/2023,Apple Pay,Kolkata,on hold
97,Kitchen Knife Sharpening System,Kitchen,18,74.89,362.87,Charla McClounan,cmcclounan2o@upenn.edu,1/4/2022,Cash,Jaipur,on hold
98,Lightweight Workout Tank,Clothing - Activewear,28,70.01,926.02,Deena Rider,drider2p@shareasale.com,12/15/2021,PayPal,Hyderabad,processing
99,Portable Electric Fan,Home,52,75.72,239.48,Patten Gyves,pgyves2q@bloomberg.com,12/10/2022,Google Pay,Pune,backordered
100,Mushrooms,Food - Produce,13,28.33,21.85,Addy Allcoat,aallcoat2r@mapquest.com,1/2/2023,Cash,Chennai,on hold
101,Beef Sirloin Steak,Food - Meat,8,39.35,188.98,Ailbert Pyrah,apyrah2s@washington.edu,2/3/2026,Gift card,Kolkata,completed
102,Wireless HDMI Receiver,Electronics,59,74.52,391.88,Desdemona Brunroth,dbrunroth2t@surveymonkey.com,9/26/2020,Gift card,Delhi,cancelled
103,Faux Leather Leggings,Clothing - Pants,60,50.99,947.98,Mikel Westbrook,mwestbrook2u@pbs.org,10/30/2025,credit card,Bangalore,returned
104,Portable Speakers,Audio,32,97.09,770.04,Lowe Imison,limison2v@epa.gov,5/30/2022,credit card,Ahmedabad,shipped
105,Rustic Wooden Picture Frame,Home,15,74.33,716.0,Marigold Remmer,mremmer2w@ow.ly,1/30/2026,Apple Pay,Bangalore,shipped
106,Blue Denim Jeans,Clothing - Bottoms,85,67.63,127.52,Cullin Kahane,ckahane2x@freewebs.com,2/3/2025,Gift card,Mumbai,returned
107,Low-Fat Yogurt,Food - Dairy,60,38.51,130.26,Charil Kingzeth,ckingzeth2y@techcrunch.com,8/23/2022,Cash,Pune,completed
108,Savory Pumpkin Soup,Food - Soups,53,12.08,776.25,Dedie Minihane,dminihane2z@nature.com,9/2/2022,Cash,Hyderabad,cancelled
109,Kids' Building Blocks,Toys,54,71.87,97.85,Phillis Broadey,pbroadey30@desdev.cn,2/25/2026,Gift card,Hyderabad,pending
110,Sliced Ham,Food - Meat,19,67.18,23.98,Bert Gumme,bgumme31@sakura.ne.jp,5/13/2025,PayPal,Jaipur,backordered
111,Dill Pickle Chips,Food - Condiments,45,18.87,809.68,Joletta Mayman,jmayman32@berkeley.edu,12/26/2024,PayPal,Bangalore,processing
112,Yoga Mat,Fitness,1,43.07,365.14,Mallory Ianizzi,mianizzi33@twitpic.com,6/18/2021,Google Pay,Chennai,processing
113,Garlic Herb Marinade,Food - Marinades,67,73.0,413.85,Meier Berkely,mberkely34@google.pl,9/23/2026,credit card,Chennai,delivered
114,Smartphone Car Mount with Wireless Charging,Automotive,86,69.66,13.04,Lydie Antat,lantat35@house.gov,9/1/2020,Google Pay,Delhi,on hold
115,DIY Lip Balm Kit,Crafts,83,76.46,748.7,Maggee Fumagalli,mfumagalli36@over-blog.com,4/1/2022,Google Pay,Jaipur,pending
116,Chino Shorts,Clothing - Bottoms,47,34.59,635.09,Stanwood Vauter,svauter37@comcast.net,9/17/2023,PayPal,Pune,pending
117,Magnetic Phone Car Mount,Automotive,5,8.81,947.45,Parry Kyngdon,pkyngdon38@sun.com,10/6/2021,Google Pay,Mumbai,backordered
118,Spinach and Feta Stuffed Chicken Breast,Food - Meat,28,99.25,696.65,Warden Toplis,wtoplis39@elegantthemes.com,8/14/2022,Google Pay,Hyderabad,cancelled
119,Rustic Italian Breads,Food - Bakery,37,99.01,270.02,Dre Barosch,dbarosch3a@sfgate.com,9/2/2024,Google Pay,Delhi,on hold
120,Electric Heat Pad,Health,24,16.24,266.39,Dante Ilieve,dilieve3b@cbsnews.com,11/21/2020,Google Pay,Jaipur,cancelled
121,Biodegradable Dog Waste Bags,Pets,17,94.68,630.45,Peyton Iacofo,piacofo3c@mozilla.com,7/27/2021,Gift card,Pune,shipped
122,Colorful Post-It Notes Set,Office,98,44.76,870.21,Bordie Silverton,bsilverton3d@nationalgeographic.com,7/6/2020,credit card,Delhi,refunded
123,Maple Oatmeal,Food - Breakfast,70,35.39,1.07,Richy Phant,rphant3e@typepad.com,8/20/2026,Cash,Kolkata,completed
124,Tea Set with Infuser,Kitchen,72,76.6,911.11,Elise Episcopi,eepiscopi3f@amazon.de,9/28/2026,Apple Pay,Delhi,processing
125,Spicy Garlic Edamame,Food - Snacks,31,87.0,215.28,Demetra Schouthede,dschouthede3g@accuweather.com,6/21/2023,Cash,Hyderabad,on hold
126,Zucchini Noodles,Food - Vegetables,65,64.7,781.65,Oriana Chazelle,ochazelle3h@wix.com,7/16/2021,Cash,Chennai,on hold
127,Weighted Jump Rope with Counter,Fitness,54,55.52,652.42,Maribeth Whapples,mwhapples3i@census.gov,3/25/2023,Cash,Jaipur,completed
128,High-Waisted Skirt,Clothing - Bottoms,99,26.19,548.37,Gerome Mumby,gmumby3j@webeden.co.uk,9/28/2023,Gift card,Ahmedabad,cancelled
129,Adjustable Dog Harness,Pets,64,51.35,501.57,Vidovic Palia,vpalia3k@umich.edu,6/27/2025,Apple Pay,Bangalore,delivered
130,Roasted Red Pepper Hummus,Food - Dips,31,53.52,976.02,Kati Ville,kville3l@toplist.cz,4/16/2021,Google Pay,Bangalore,returned
131,Stylish Wireless Earbuds,Audio,75,45.14,21.73,Mickie Rayman,mrayman3m@over-blog.com,12/8/2023,Gift card,Kolkata,completed
132,Microfiber Cleaning Cloth Set,Home,3,60.58,618.95,Halsy Dowson,hdowson3n@theguardian.com,3/1/2025,Apple Pay,Ahmedabad,pending
133,Fresh Basil,Food - Produce,64,72.41,358.02,Lucina Soeiro,lsoeiro3o@sourceforge.net,1/25/2022,Cash,Delhi,pending
134,Wall Planner,Office,46,27.2,943.07,Gay Ronnay,gronnay3p@upenn.edu,10/16/2025,PayPal,Pune,on hold
135,Spicy Thai Coconut Soup,Food - Soups,93,8.38,835.26,Kessiah Hallowes,khallowes3q@shareasale.com,4/8/2021,Google Pay,Bangalore,delivered
136,Pet Travel Backpack Carrier,Pets,41,39.42,356.46,Ignace Daid,idaid3r@ebay.com,11/18/2026,Google Pay,Pune,returned
137,Multifunctional Baby Bottle Warmer,Baby,68,78.94,170.41,Arlin Sexten,asexten3s@hostgator.com,5/19/2024,credit card,Ahmedabad,backordered
138,Maple Cinnamon Granola,Food - Cereals,86,70.75,744.6,Cristiano Bleasdale,cbleasdale3t@etsy.com,3/17/2022,Gift card,Bangalore,refunded
139,Portable Bluetooth Headphones,Audio,44,3.54,680.14,Isador Foulcher,ifoulcher3u@google.pl,10/15/2026,Google Pay,Kolkata,returned
140,Wrap Jumpsuit,Clothing - Jumpsuits,70,42.38,252.9,Gerty Leadstone,gleadstone3v@parallels.com,2/9/2025,credit card,Kolkata,refunded
141,Blueberry Muffin Mix,Food - Baking,35,74.13,227.25,Cooper Pietersen,cpietersen3w@bravesites.com,2/12/2021,Gift card,Mumbai,returned
142,Fruit & Nut Trail Mix,Food - Snacks,83,91.92,403.98,Carce Elcock,celcock3x@cnbc.com,6/9/2026,credit card,Mumbai,pending
143,Sweetened Condensed Milk,Food - Baking Goods,49,27.49,748.62,Rosaleen Verrier,rverrier3y@exblog.jp,4/23/2026,Cash,Ahmedabad,backordered
144,Spice Rack,Kitchen,11,84.7,752.77,Donnell Lefley,dlefley3z@digg.com,7/21/2022,credit card,Delhi,completed
145,Sea Salt Tortilla Chips,Food - Snacks,87,2.58,945.26,Chrystal Stanhope,cstanhope40@tumblr.com,6/24/2026,Google Pay,Bangalore,on hold
146,Garden Vegetable Chips,Food - Snacks,62,25.66,837.3,Andreas Gaitung,agaitung41@google.fr,12/28/2021,PayPal,Mumbai,pending
147,Organic Lentil Soup,Food - Soups,55,39.92,14.92,Tess Albers,talbers42@google.com.hk,2/29/2020,Cash,Ahmedabad,delivered
148,Cooking Utensil Set,Kitchen,76,58.83,171.22,Paloma Burgwyn,pburgwyn43@mayoclinic.com,6/14/2026,Google Pay,Lucknow,pending
149,Memory Foam Mattress Pad,Home,8,43.94,215.28,Costa Drieu,cdrieu44@cisco.com,10/7/2022,Google Pay,Mumbai,pending
150,Digital Stopwatch Timer,Fitness,98,75.38,762.45,Benjie Rolling,brolling45@acquirethisname.com,3/21/2023,Apple Pay,Kolkata,refunded
151,Pet Grooming Scissors,Pets,98,63.36,867.38,Ward Reade,wreade46@diigo.com,5/29/2022,PayPal,Delhi,delivered
152,Vegan Caesar Dressing,Food - Condiments,53,63.77,488.91,Nadya Melson,nmelson47@eventbrite.com,1/28/2026,credit card,Chennai,completed
153,Rice Pudding,Food - Desserts,30,84.24,945.91,Novelia Dalgardno,ndalgardno48@ibm.com,3/6/2026,Google Pay,Ahmedabad,on hold
154,Coconut Curry Sauce,Food - Sauces,69,77.73,652.2,Noland Randales,nrandales49@mapquest.com,5/10/2026,PayPal,Pune,shipped
155,Spicy Avocado Salsa,Food - Condiments,42,74.06,256.59,Etheline Archbould,earchbould4a@auda.org.au,7/3/2023,Google Pay,Ahmedabad,processing
156,Tattoo Kit,Art Supplies,13,73.67,822.24,Burty Oldnall,boldnall4b@dagondesign.com,4/2/2021,credit card,Bangalore,delivered
157,Adjustable Resistance Bands,Fitness,95,50.42,142.11,Debra Kidsley,dkidsley4c@constantcontact.com,3/22/2025,Gift card,Hyderabad,refunded
158,Stick Vacuums Cleaner,Home Appliances,42,34.61,784.65,Mahmud Matteuzzi,mmatteuzzi4d@narod.ru,7/26/2026,Cash,Delhi,pending
159,Magnetic Spice Jars,Kitchen,63,44.56,59.03,Shea Macknish,smacknish4e@addthis.com,9/23/2022,credit card,Delhi,processing
160,Electric Food Slicer,Kitchen,41,98.37,386.18,Carie Clive,cclive4f@ovh.net,5/17/2023,Google Pay,Kolkata,backordered
161,Warm Knit Beanie,Clothing - Accessories,2,92.39,202.78,Westley De Bruin,wde4g@nasa.gov,5/29/2022,credit card,Mumbai,pending
162,Dog Training Whistle,Pets,82,90.4,638.98,Zaneta Orrill,zorrill4h@geocities.com,10/22/2026,Gift card,Mumbai,pending
163,Bamboo Utensil Set,Kitchen,73,45.41,651.28,Anne Bowland,abowland4i@google.pl,11/7/2020,Cash,Lucknow,refunded
164,Chocolate Syrup,Food - Condiments,3,75.48,969.52,Paolo Comford,pcomford4j@seattletimes.com,7/5/2023,PayPal,Ahmedabad,shipped
165,Pumpkin Seeds,Food - Snacks,43,57.21,68.19,Flo Defrain,fdefrain4k@cbslocal.com,9/21/2020,Cash,Jaipur,on hold
166,Creamy Garlic Dressing,Food - Condiments,88,6.78,322.21,Monty Revey,mrevey4l@wikispaces.com,9/26/2023,Apple Pay,Mumbai,on hold
167,Cinnamon Ice Cream,Food - Frozen Desserts,70,70.1,941.88,Quint Simao,qsimao4m@webeden.co.uk,6/15/2021,credit card,Jaipur,refunded
168,Smart Wi-Fi Camera,Smart Home,47,34.46,759.16,Zara Offer,zoffer4n@dailymail.co.uk,5/1/2021,Gift card,Lucknow,shipped
169,Italian Herbal Seasoning,Food - Spices,14,53.05,248.98,Cullin Christensen,cchristensen4o@biglobe.ne.jp,3/27/2020,Google Pay,Chennai,processing
170,Customizable Name Plate,Office,64,83.27,571.08,Armin Jadczak,ajadczak4p@blogspot.com,4/4/2022,credit card,Jaipur,cancelled
171,Smartphone Tripod with Remote,Photography,51,11.95,536.44,Sindee Templman,stemplman4q@hugedomains.com,10/15/2023,Google Pay,Mumbai,processing
172,Folding Backpack Chair,Outdoor,2,63.4,386.62,Huey Sarfat,hsarfat4r@amazon.com,12/11/2024,credit card,Mumbai,delivered
173,Herbal Tea Set,Food,17,66.69,538.72,Dulcia Lyon,dlyon4s@bigcartel.com,12/31/2025,Apple Pay,Chennai,cancelled
174,Peanut Butter Filled Pretzels,Food - Snacks,19,55.4,486.66,Tommy Ambrogiotti,tambrogiotti4t@telegraph.co.uk,2/13/2021,Apple Pay,Delhi,on hold
175,Fitness Activity Journal,Fitness,54,81.11,655.14,Willi Griffitt,wgriffitt4u@netscape.com,5/20/2021,Gift card,Mumbai,completed
176,Butternut Squash Ravioli,Food - Frozen Foods,23,45.16,474.69,Cornelle d' Eye,cd4v@list-manage.com,1/17/2026,Gift card,Bangalore,cancelled
177,Organic Green Lentils,Food - Grocery,34,58.34,411.01,Noby Dafter,ndafter4w@sun.com,8/15/2026,Apple Pay,Pune,shipped
178,Cinnamon Rolls,Food - Bakery,49,66.32,528.07,Alanah Pawlyn,apawlyn4x@blogger.com,10/10/2026,PayPal,Jaipur,completed
179,Water Bottle with Built-in Fruit Infuser,Fitness,6,14.0,219.66,Lorene Hinchshaw,lhinchshaw4y@ovh.net,6/6/2026,Google Pay,Chennai,completed
180,Protein Pancake Mix,Food - Breakfast,88,52.04,154.1,Mordecai Clackson,mclackson4z@amazon.co.uk,3/15/2022,PayPal,Ahmedabad,completed
181,Foam Roller for Muscle Recovery,Fitness,11,64.52,166.53,Gladys McCaughren,gmccaughren50@shinystat.com,5/13/2021,Gift card,Pune,cancelled
182,Frozen Fruit Medley,Food - Frozen Foods,28,1.79,552.02,Nadine Gianuzzi,ngianuzzi51@time.com,11/28/2020,PayPal,Chennai,returned
183,Reusable Food Storage Bags,Kitchen,35,10.91,649.35,Madelyn Meo,mmeo52@soup.io,9/17/2025,credit card,Bangalore,backordered
184,Fresh Cilantro,Food - Produce,50,49.49,444.19,Alvira Erricker,aerricker53@goo.gl,2/24/2023,Cash,Ahmedabad,delivered
